Scenario,Move,FarLot,FarLoss,HarvestNet,Reserve,Coverage,Deficit,RecoveryPL,ReserveCatchUpRatio,Law1,Law2,LotStep,CostMultiplier
10,10,0.05,0.5,0,0.0,0.0,0.5,-10.6,2.34,PASS,PASS,0.001,1
10,20,0.05,1.0,0,0.0,0.0,1.0,-9.8,2.34,PASS,PASS,0.001,1
10,50,0.05,2.5,0,0.0,0.0,2.5,-7.4,2.34,PASS,PASS,0.001,1
10,100,0.05,5.0,2.38,2.142,2.142,2.858,-3.4,2.34,PASS,PASS,0.001,1
10,200,0.05,10.0,15.38,13.842,13.842,-3.842,4.6,2.34,PASS,PASS,0.001,1
10,500,0.05,25.0,54.38,48.942,48.942,-23.942,28.6,2.34,PASS,PASS,0.001,1
11,10,0.1,1.0,0,0.0,0.0,1.0,-25.0,2.34,PASS,PASS,0.01,1
11,20,0.1,2.0,0,0.0,0.0,2.0,-23.4,2.34,PASS,PASS,0.01,1
11,50,0.1,5.0,0,0.0,0.0,5.0,-18.6,2.34,PASS,PASS,0.01,1
11,100,0.1,10.0,1.32,1.188,1.188,8.812,-10.6,2.34,PASS,PASS,0.01,1
11,200,0.1,20.0,27.32,24.588,24.588,-4.588,5.4,2.34,PASS,PASS,0.01,1
11,500,0.1,50.0,105.32,94.788,94.788,-44.788,53.4,2.34,PASS,PASS,0.01,1
12,10,0.5,5.0,0,0.0,0.0,5.0,-141.0,2.34,PASS,PASS,0.1,1
12,20,0.5,10.0,0,0.0,0.0,10.0,-133.0,2.34,PASS,PASS,0.1,1
12,50,0.5,25.0,0,0.0,0.0,25.0,-109.0,2.34,PASS,PASS,0.1,1
12,100,0.5,50.0,0,0.0,0.0,50.0,-69.0,2.34,PASS,PASS,0.1,1
12,200,0.5,100.0,118.4,106.56,106.56,-6.56,11.0,2.34,PASS,PASS,0.1,1
12,500,0.5,250.0,508.4,457.56,457.56,-207.56,251.0,2.34,PASS,PASS,0.1,1
13,10,1,10.0,0,0.0,0.0,10.0,-81.0,2.34,PASS,PASS,0.001,1
13,20,1,20.0,0,0.0,0.0,20.0,-65.0,2.34,PASS,PASS,0.001,1
13,50,1,50.0,40.2,36.18,36.18,13.82,-17.0,2.34,PASS,PASS,0.001,1
13,100,1,100.0,170.2,153.18,153.18,-53.18,63.0,2.34,PASS,PASS,0.001,1
13,200,1,200.0,430.2,387.18,387.18,-187.18,223.0,2.34,PASS,PASS,0.001,1
13,500,1,500.0,1210.2,1089.18,1089.18,-589.18,703.0,2.34,PASS,PASS,0.001,1
14,10,2,20.0,0,0.0,0.0,20.0,-241.0,2.34,PASS,PASS,0.01,1
14,20,2,40.0,0,0.0,0.0,40.0,-209.0,2.34,PASS,PASS,0.01,1
14,50,2,100.0,7.4,6.66,6.66,93.34,-113.0,2.34,PASS,PASS,0.01,1
14,100,2,200.0,267.4,240.66,240.66,-40.66,47.0,2.34,PASS,PASS,0.01,1
14,200,2,400.0,787.4,708.66,708.66,-308.66,367.0,2.34,PASS,PASS,0.01,1
14,500,2,1000.0,2347.4,2112.66,2112.66,-1112.66,1327.0,2.34,PASS,PASS,0.01,1
15,10,5,50.0,0,0.0,0.0,50.0,-801.0,2.34,PASS,PASS,0.1,1
15,20,5,100.0,0,0.0,0.0,100.0,-721.0,2.34,PASS,PASS,0.1,1
15,50,5,250.0,0,0.0,0.0,250.0,-481.0,2.34,PASS,PASS,0.1,1
15,100,5,500.0,485.0,436.5,436.5,63.5,-81.0,2.34,PASS,PASS,0.1,1
15,200,5,1000.0,1785.0,1606.5,1606.5,-606.5,719.0,2.34,PASS,PASS,0.1,1
15,500,5,2500.0,5685.0,5116.5,5116.5,-2616.5,3119.0,2.34,PASS,PASS,0.1,1
16,10,10,100.0,0,0.0,0.0,100.0,-2001.0,2.34,PASS,PASS,0.001,1
16,20,10,200.0,0,0.0,0.0,200.0,-1841.0,2.34,PASS,PASS,0.001,1
16,50,10,500.0,0,0.0,0.0,500.0,-1361.0,2.34,PASS,PASS,0.001,1
16,100,10,1000.0,601.0,540.9,540.9,459.1,-561.0,2.34,PASS,PASS,0.001,1
16,200,10,2000.0,3201.0,2880.9,2880.9,-880.9,1039.0,2.34,PASS,PASS,0.001,1
16,500,10,5000.0,11001.0,9900.9,9900.9,-4900.9,5839.0,2.34,PASS,PASS,0.001,1
17,10,0.01,0.1,0,0.0,0.0,0.1,-2.82,1.8,PASS,PASS,0.01,1
17,20,0.01,0.2,0,0.0,0.0,0.2,-2.72,1.8,PASS,PASS,0.01,1
17,50,0.01,0.5,0,0.0,0.0,0.5,-2.42,1.8,PASS,PASS,0.01,1
17,100,0.01,1.0,0,0.0,0.0,1.0,-1.92,1.8,PASS,PASS,0.01,1
17,200,0.01,2.0,1.08,0.972,0.972,1.028,-0.92,1.8,PASS,PASS,0.01,1
17,500,0.01,5.0,7.08,6.372,6.372,-1.372,2.08,1.8,PASS,PASS,0.01,1
18,10,0.05,0.5,0,0.0,0.0,0.5,-11.6,1.8,PASS,PASS,0.1,1
18,20,0.05,1.0,0,0.0,0.0,1.0,-11.1,1.8,PASS,PASS,0.1,1
18,50,0.05,2.5,0,0.0,0.0,2.5,-9.6,1.8,PASS,PASS,0.1,1
18,100,0.05,5.0,0,0.0,0.0,5.0,-7.1,1.8,PASS,PASS,0.1,1
18,200,0.05,10.0,7.9,7.11,7.11,2.89,-2.1,1.8,PASS,PASS,0.1,1
18,500,0.05,25.0,37.9,34.11,34.11,-9.11,12.9,1.8,PASS,PASS,0.1,1
19,10,0.1,1.0,0,0.0,0.0,1.0,-9.0,2.34,PASS,PASS,0.001,1
19,20,0.1,2.0,0,0.0,0.0,2.0,-7.4,2.34,PASS,PASS,0.001,1
19,50,0.1,5.0,3.12,2.808,2.808,2.192,-2.6,2.34,PASS,PASS,0.001,1
19,100,0.1,10.0,16.12,14.508,14.508,-4.508,5.4,2.34,PASS,PASS,0.001,1
19,200,0.1,20.0,42.12,37.908,37.908,-17.908,21.4,2.34,PASS,PASS,0.001,1
19,500,0.1,50.0,120.12,108.108,108.108,-58.108,69.4,2.34,PASS,PASS,0.001,1
20,10,0.5,5.0,0,0.0,0.0,5.0,-61.0,2.34,PASS,PASS,0.01,1
20,20,0.5,10.0,0,0.0,0.0,10.0,-53.0,2.34,PASS,PASS,0.01,1
20,50,0.5,25.0,1.1,0.99,0.99,24.01,-29.0,2.34,PASS,PASS,0.01,1
20,100,0.5,50.0,66.1,59.49,59.49,-9.49,11.0,2.34,PASS,PASS,0.01,1
20,200,0.5,100.0,196.1,176.49,176.49,-76.49,91.0,2.34,PASS,PASS,0.01,1
20,500,0.5,250.0,586.1,527.49,527.49,-277.49,331.0,2.34,PASS,PASS,0.01,1
21,10,1,10.0,0,0.0,0.0,10.0,-233.0,2.34,PASS,PASS,0.1,1
21,20,1,20.0,0,0.0,0.0,20.0,-217.0,2.34,PASS,PASS,0.1,1
21,50,1,50.0,0,0.0,0.0,50.0,-169.0,2.34,PASS,PASS,0.1,1
21,100,1,100.0,29.6,26.64,26.64,73.36,-89.0,2.34,PASS,PASS,0.1,1
21,200,1,200.0,289.6,260.64,260.64,-60.64,71.0,2.34,PASS,PASS,0.1,1
21,500,1,500.0,1069.6,962.64,962.64,-462.64,551.0,2.34,PASS,PASS,0.1,1
22,10,2,20.0,0,0.0,0.0,20.0,-545.0,2.34,PASS,PASS,0.001,1
22,20,2,40.0,0,0.0,0.0,40.0,-513.0,2.34,PASS,PASS,0.001,1
22,50,2,100.0,0,0.0,0.0,100.0,-417.0,2.34,PASS,PASS,0.001,1
22,100,2,200.0,0,0.0,0.0,200.0,-257.0,2.34,PASS,PASS,0.001,1
22,200,2,400.0,506.2,455.58,455.58,-55.58,63.0,2.34,PASS,PASS,0.001,1
22,500,2,1000.0,2066.2,1859.58,1859.58,-859.58,1023.0,2.34,PASS,PASS,0.001,1
23,10,5,50.0,0,0.0,0.0,50.0,-1561.0,2.34,PASS,PASS,0.01,1
23,20,5,100.0,0,0.0,0.0,100.0,-1481.0,2.34,PASS,PASS,0.01,1
23,50,5,250.0,0,0.0,0.0,250.0,-1241.0,2.34,PASS,PASS,0.01,1
23,100,5,500.0,0,0.0,0.0,500.0,-841.0,2.34,PASS,PASS,0.01,1
23,200,5,1000.0,1082.0,973.8,973.8,26.2,-41.0,2.34,PASS,PASS,0.01,1
23,500,5,2500.0,4982.0,4483.8,4483.8,-1983.8,2359.0,2.34,PASS,PASS,0.01,1
24,10,10,100.0,0,0.0,0.0,100.0,-3521.0,2.34,PASS,PASS,0.1,1
24,20,10,200.0,0,0.0,0.0,200.0,-3361.0,2.34,PASS,PASS,0.1,1
24,50,10,500.0,0,0.0,0.0,500.0,-2881.0,2.34,PASS,PASS,0.1,1
24,100,10,1000.0,0,0.0,0.0,1000.0,-2081.0,2.34,PASS,PASS,0.1,1
24,200,10,2000.0,1795.0,1615.5,1615.5,384.5,-481.0,2.34,PASS,PASS,0.1,1
24,500,10,5000.0,9595.0,8635.5,8635.5,-3635.5,4319.0,2.34,PASS,PASS,0.1,1
25,10,0.01,0.1,0,0.0,0.0,0.1,-2.52,2.34,PASS,PASS,0.001,1
25,20,0.01,0.2,0,0.0,0.0,0.2,-2.36,2.34,PASS,PASS,0.001,1
25,50,0.01,0.5,0,0.0,0.0,0.5,-1.88,2.34,PASS,PASS,0.001,1
25,100,0.01,1.0,0.046,0.0414,0.0414,0.9586,-1.08,2.34,PASS,PASS,0.001,1
25,200,0.01,2.0,2.646,2.3814,2.3814,-0.3814,0.52,2.34,PASS,PASS,0.001,1
25,500,0.01,5.0,10.446,9.4014,9.4014,-4.4014,5.32,2.34,PASS,PASS,0.001,1
26,10,0.05,0.5,0,0.0,0.0,0.5,-10.6,2.34,PASS,PASS,0.01,1
26,20,0.05,1.0,0,0.0,0.0,1.0,-9.8,2.34,PASS,PASS,0.01,1
26,50,0.05,2.5,0,0.0,0.0,2.5,-7.4,2.34,PASS,PASS,0.01,1
26,100,0.05,5.0,2.12,1.908,1.908,3.092,-3.4,2.34,PASS,PASS,0.01,1
26,200,0.05,10.0,15.12,13.608,13.608,-3.608,4.6,2.34,PASS,PASS,0.01,1
26,500,0.05,25.0,54.12,48.708,48.708,-23.708,28.6,2.34,PASS,PASS,0.01,1
27,10,0.1,1.0,0,0.0,0.0,1.0,-18.6,1.8,PASS,PASS,0.1,1
27,20,0.1,2.0,0,0.0,0.0,2.0,-17.6,1.8,PASS,PASS,0.1,1
27,50,0.1,5.0,0,0.0,0.0,5.0,-14.6,1.8,PASS,PASS,0.1,1
27,100,0.1,10.0,0.4,0.36,0.36,9.64,-9.6,1.8,PASS,PASS,0.1,1
27,200,0.1,20.0,20.4,18.36,18.36,1.64,0.4,1.8,PASS,PASS,0.1,1
27,500,0.1,50.0,80.4,72.36,72.36,-22.36,30.4,1.8,PASS,PASS,0.1,1
28,10,0.5,5.0,0,0.0,0.0,5.0,-137.0,2.34,PASS,PASS,0.001,1
28,20,0.5,10.0,0,0.0,0.0,10.0,-129.0,2.34,PASS,PASS,0.001,1
28,50,0.5,25.0,0,0.0,0.0,25.0,-105.0,2.34,PASS,PASS,0.001,1
28,100,0.5,50.0,0,0.0,0.0,50.0,-65.0,2.34,PASS,PASS,0.001,1
28,200,0.5,100.0,125.8,113.22,113.22,-13.22,15.0,2.34,PASS,PASS,0.001,1
28,500,0.5,250.0,515.8,464.22,464.22,-214.22,255.0,2.34,PASS,PASS,0.001,1
29,10,1,10.0,0,0.0,0.0,10.0,-313.0,2.34,PASS,PASS,0.01,1
29,20,1,20.0,0,0.0,0.0,20.0,-297.0,2.34,PASS,PASS,0.01,1
29,50,1,50.0,0,0.0,0.0,50.0,-249.0,2.34,PASS,PASS,0.01,1
29,100,1,100.0,0,0.0,0.0,100.0,-169.0,2.34,PASS,PASS,0.01,1
29,200,1,200.0,215.6,194.04,194.04,5.96,-9.0,2.34,PASS,PASS,0.01,1
29,500,1,500.0,995.6,896.04,896.04,-396.04,471.0,2.34,PASS,PASS,0.01,1
30,10,2,20.0,0,0.0,0.0,20.0,-705.0,2.34,PASS,PASS,0.1,1
30,20,2,40.0,0,0.0,0.0,40.0,-673.0,2.34,PASS,PASS,0.1,1
30,50,2,100.0,0,0.0,0.0,100.0,-577.0,2.34,PASS,PASS,0.1,1
30,100,2,200.0,0,0.0,0.0,200.0,-417.0,2.34,PASS,PASS,0.1,1
30,200,2,400.0,358.2,322.38,322.38,77.62,-97.0,2.34,PASS,PASS,0.1,1
