Metric,Python,MT5,Diff,Status
BigNet,147.73,147.73,0.0,PASS
SmallNet,-40.9,-40.9,0.0,PASS
BigScenarioNet,106.83,106.83,0.0,PASS
CloseFarBudget,80.1225,80.1225,0.0,PASS
ReserveAdd,26.7075,26.7075,0.0,PASS
CloseFarLot,0.29,0.29,0.0,PASS
RemainingFar,0.71,0.71,0.0,PASS
NextState,OPEN_BIG_L2,OPEN_BIG_L2,MATCH,PASS
