Scenario,Level,FarLotBefore,BigLot,SmallLot,ClosedBigNet,ClosedSmallNet,BigScenarioNet,CloseFarShare,ReserveShare,CloseFarBudget,ReserveAdd,CloseFarLotRaw,CloseFarLotRounded,CloseFarActualCost,FarLotAfter,ReserveAfter,RecoveryPL,ReserveCoverage,CanFinalClose,NextAction,InvariantStatus
90_10,1,1.0,1.15,0.29,115.0,-29.0,86.0,0.9,0.1,77.4,8.6,0.387,0.38,76.0,0.62,8.6,-115.4,0.06935484,NO,NEXT_BIG_LEVEL,PASS
90_10,2,0.62,0.71,0.18,71.0,-18.0,53.0,0.9,0.1,47.7,5.3,0.2385,0.23,46.0,0.39,13.9,-64.1,0.17820513,NO,NEXT_BIG_LEVEL,PASS
90_10,3,0.39,0.45,0.12,45.0,-12.0,33.0,0.9,0.1,29.7,3.3,0.1485,0.14,28.0,0.25,17.2,-32.8,0.344,NO,NEXT_BIG_LEVEL,PASS
90_10,4,0.25,0.29,0.08,29.0,-8.0,21.0,0.9,0.1,18.9,2.1,0.0945,0.09,18.0,0.16,19.3,-12.7,0.603125,NO,NEXT_BIG_LEVEL,PASS
90_10,5,0.16,0.18,0.05,18.0,-5.0,13.0,0.9,0.1,11.7,1.3,0.0585,0.05,10.0,0.11,20.6,-1.4,0.93636364,NO,NEXT_BIG_LEVEL,PASS
90_10,6,0.11,0.13,0.04,13.0,-4.0,9.0,0.9,0.1,8.1,0.9,0.0405,0.04,8.0,0.07,21.5,7.5,1.53571429,YES,FINAL_CLOSE,PASS
20_80,1,1.0,1.15,0.29,115.0,-29.0,86.0,0.2,0.8,17.2,68.8,0.086,0.08,16.0,0.92,68.8,-115.2,0.37391304,NO,NEXT_BIG_LEVEL,PASS
20_80,2,0.92,1.06,0.27,106.0,-27.0,79.0,0.2,0.8,15.8,63.2,0.079,0.07,14.0,0.85,132.0,-38.0,0.77647059,NO,NEXT_BIG_LEVEL,PASS
20_80,3,0.85,0.98,0.25,98.0,-25.0,73.0,0.2,0.8,14.6,58.4,0.073,0.07,14.0,0.78,190.4,34.4,1.22051282,YES,FINAL_CLOSE,PASS
