Number,OldFar,TargetNewFar,ActualNewFar,CompressionPercent,OldRisk,NewRisk,NextBigGross,NextBigToOldFar,OldCycleGross,NextCycleGross,Cycles,Completed,Law3,RejectReason,LotStep,CostMultiplier
43,0.1,0.03,0.03,70.0,20.0,6.0,0.084,0.84,0.4000000000000001,0.12,5,PASS,PASS,PASS,0.001,1
44,0.5,0.15,0.15,70.0,100.0,30.0,0.42,0.84,2.0,0.6,5,PASS,PASS,PASS,0.01,1
45,1,0.3,0.30000000000000004,70.0,200.0,60.00000000000001,0.84,0.84,4.0,1.2000000000000002,3,PASS,PASS,PASS,0.1,1
46,2,0.6,0.6,70.0,400.0,120.0,1.68,0.84,8.0,2.4,8,FAIL,FAIL,MARGIN_GATE,0.001,1
47,5,1.5,1.5,70.0,1000.0,300.0,4.2,0.84,20.0,6.0,7,FAIL,FAIL,MARGIN_GATE,0.01,1
48,10,3.0,3.0,70.0,2000.0,600.0,8.4,0.84,40.0,12.0,5,FAIL,FAIL,MARGIN_GATE,0.1,1
49,0.01,0.003,0.003,70.0,2.0,0.6,0.0084,0.84,0.04,0.012,3,PASS,PASS,PASS,0.001,1
50,0.05,0.015,0.01,80.0,10.0,2.0,0.028,0.56,0.20000000000000004,0.04,2,PASS,PASS,PASS,0.01,1
51,0.1,0.03,0.0,100.0,20.0,0.0,0.0,0.0,0.30000000000000004,0.0,0,FAIL,FAIL,INVALID_BROKER_VOLUME,0.1,1
52,0.5,0.15,0.15,70.0,100.0,30.0,0.42,0.84,2.0,0.6,7,PASS,PASS,PASS,0.001,1
53,1,0.3,0.3,70.0,200.0,60.0,0.84,0.84,4.0,1.2,5,PASS,PASS,PASS,0.01,1
54,2,0.6,0.6000000000000001,70.0,400.0,120.00000000000001,1.68,0.84,8.0,2.4000000000000004,4,FAIL,FAIL,MARGIN_GATE,0.1,1
55,5,1.5,1.5,70.0,1000.0,300.0,4.2,0.84,20.0,6.0,9,FAIL,FAIL,MARGIN_GATE,0.001,1
56,10,3.0,3.0,70.0,2000.0,600.0,8.4,0.84,40.0,12.0,7,FAIL,FAIL,MARGIN_GATE,0.01,1
57,0.01,0.003,0.0,100.0,2.0,0.0,0.0,0.0,0.01,0.0,0,FAIL,FAIL,INVALID_BROKER_VOLUME,0.1,1
58,0.05,0.015,0.015,70.0,10.0,3.0,0.042,0.84,0.20000000000000004,0.06,5,PASS,PASS,PASS,0.001,1
59,0.1,0.03,0.03,70.0,20.0,6.0,0.084,0.84,0.4000000000000001,0.12,3,PASS,PASS,PASS,0.01,1
60,0.5,0.15,0.1,80.0,100.0,20.0,0.28,0.56,2.0,0.4,2,FAIL,FAIL,TRANSITION_LOSS,0.1,1
61,1,0.3,0.3,70.0,200.0,60.0,0.84,0.84,4.0,1.2,7,PASS,PASS,PASS,0.001,1
62,2,0.6,0.6,70.0,400.0,120.0,1.68,0.84,8.0,2.4,6,FAIL,FAIL,MARGIN_GATE,0.01,1
63,5,1.5,1.5,70.0,1000.0,300.0,4.2,0.84,20.0,6.0,5,FAIL,FAIL,MARGIN_GATE,0.1,1
64,10,3.0,3.0,70.0,2000.0,600.0,8.4,0.84,40.0,12.0,9,FAIL,FAIL,MARGIN_GATE,0.001,1
65,0.01,0.003,0.0,100.0,2.0,0.0,0.0,0.0,0.03,0.0,0,FAIL,FAIL,INVALID_BROKER_VOLUME,0.01,1
66,0.05,0.015,0.0,100.0,10.0,0.0,0.0,0.0,0.15000000000000002,0.0,0,FAIL,FAIL,INVALID_BROKER_VOLUME,0.1,1
67,0.1,0.03,0.03,70.0,20.0,6.0,0.084,0.84,0.4000000000000001,0.12,5,PASS,PASS,PASS,0.001,1
68,0.5,0.15,0.15,70.0,100.0,30.0,0.42,0.84,2.0,0.6,5,PASS,PASS,PASS,0.01,1
69,1,0.3,0.30000000000000004,70.0,200.0,60.00000000000001,0.84,0.84,4.0,1.2000000000000002,3,PASS,PASS,PASS,0.1,1
70,2,0.6,0.6,70.0,400.0,120.0,1.68,0.84,8.0,2.4,8,FAIL,FAIL,MARGIN_GATE,0.001,1
71,5,1.5,1.5,70.0,1000.0,300.0,4.2,0.84,20.0,6.0,7,FAIL,FAIL,MARGIN_GATE,0.01,1
72,10,3.0,3.0,70.0,2000.0,600.0,8.4,0.84,40.0,12.0,5,FAIL,FAIL,MARGIN_GATE,0.1,1
73,0.01,0.003,0.003,70.0,2.0,0.6,0.0084,0.84,0.04,0.012,3,FAIL,FAIL,TRANSITION_LOSS,0.001,1
74,0.05,0.015,0.01,80.0,10.0,2.0,0.028,0.56,0.20000000000000004,0.04,2,PASS,PASS,PASS,0.01,1
75,0.1,0.03,0.0,100.0,20.0,0.0,0.0,0.0,0.30000000000000004,0.0,0,FAIL,FAIL,INVALID_BROKER_VOLUME,0.1,1
76,0.5,0.15,0.15,70.0,100.0,30.0,0.42,0.84,2.0,0.6,7,FAIL,FAIL,TRANSITION_LOSS,0.001,1
77,1,0.3,0.3,70.0,200.0,60.0,0.84,0.84,4.0,1.2,5,FAIL,FAIL,TRANSITION_LOSS,0.01,1
78,2,0.6,0.6000000000000001,70.0,400.0,120.00000000000001,1.68,0.84,8.0,2.4000000000000004,4,FAIL,FAIL,MARGIN_GATE,0.1,1
79,5,1.5,1.5,70.0,1000.0,300.0,4.2,0.84,20.0,6.0,9,FAIL,FAIL,MARGIN_GATE,0.001,1
80,10,3.0,3.0,70.0,2000.0,600.0,8.4,0.84,40.0,12.0,7,FAIL,FAIL,MARGIN_GATE,0.01,1
81,0.01,0.003,0.0,100.0,2.0,0.0,0.0,0.0,0.01,0.0,0,FAIL,FAIL,INVALID_BROKER_VOLUME,0.1,2
82,0.05,0.015,0.015,70.0,10.0,3.0,0.042,0.84,0.20000000000000004,0.06,5,FAIL,FAIL,TRANSITION_LOSS,0.001,2
83,0.1,0.03,0.03,70.0,20.0,6.0,0.084,0.84,0.4000000000000001,0.12,3,FAIL,FAIL,TRANSITION_LOSS,0.01,2
84,0.5,0.15,0.1,80.0,100.0,20.0,0.28,0.56,2.0,0.4,2,FAIL,FAIL,TRANSITION_LOSS,0.1,2
85,1,0.3,0.3,70.0,200.0,60.0,0.84,0.84,4.0,1.2,7,PASS,PASS,PASS,0.001,2
86,2,0.6,0.6,70.0,400.0,120.0,1.68,0.84,8.0,2.4,6,FAIL,FAIL,MARGIN_GATE,0.01,2
87,5,1.5,1.5,70.0,1000.0,300.0,4.2,0.84,20.0,6.0,5,FAIL,FAIL,MARGIN_GATE,0.1,2
88,10,3.0,3.0,70.0,2000.0,600.0,8.4,0.84,40.0,12.0,9,FAIL,FAIL,MARGIN_GATE,0.001,2
