Architecture,Core,Trend,Small,ReserveShare,NewFarRatio,NewBigRatio,RecoverySlope,CatchUp,TransitionNet,Margin,ReverseBound,Accepted,Reason
core_target,2.0,0.8,0.2,0.9,0.3,0.84,1.5999999999999996,2.34,170.2,40.0,5,True,PASS
dynamic,2.36,0.99,0.2,0.93,0.2,0.6699999999999999,2.1499999999999995,2.9294999999999995,284.5999999999999,45.5,4,True,PASS
two_stage,2.49,0.64,0.13,0.99,0.22,0.6886000000000001,2.0000000000000004,2.97,258.04,42.6,5,True,PASS
trend_funded,2.33,0.97,0.21,0.93,0.24,0.7919999999999999,2.09,2.8737,266.51999999999987,45.1,5,True,PASS
core_budget,2.1,0.7,0.18,0.9,0.25,0.7,1.62,2.358,183.48000000000008,39.800000000000004,5,True,PASS
core_target,1.8,0.75,0.16,0.92,0.35000000000000003,0.8925000000000001,1.3899999999999997,2.1988,126.36000000000008,37.1,6,True,PASS
