RunID,Category,StartLot,BigRatio,SmallRatio,CloseBigOnSmall,RemainBigOnSmall,CloseFarShare,ReserveShare,SmallReserveShare,InitialTriggerPoints,BigMoveStartPoints,BigMoveStepPoints,FarDistancePoints,MaxHarvestLevels,MaxReverseCycles,MaxSpreadPoints,MaxMarginPercent,MaxDrawdownPercent,RecoveryPL_Mean,RecoveryPL_Min,RecoveryPL_Max,MaxDD_Mean,MaxDD_Max,MaxMarginUsed,StopMaxLevelsCount,ClosedProfitCount,ClosedRecoveryLossCount,CompressionRatio,NewBigToOldFarRatio,Score,Verdict
13718,CANDIDATE,0.05,1.18,0.35,0.4,0.6,0.15,0.85,0.1,200,70,100,100,10,3,60,60,25,-9.5,-14.95,2.19,10.98,14.95,140.0,0,1,6,1.0,1.0,-3137.995,REJECTED_RECOVERY_LOSS
7278,CANDIDATE,0.05,1.2,0.2,0.4,0.6,0.2,0.8,0.0,200,100,25,250,10,3,60,60,15,-11.6,-16.81,5.81,12.69,16.81,130.0,0,1,6,0.8,1.0,-3138.04,REJECTED_RECOVERY_LOSS
10108,CANDIDATE,0.05,1.18,0.3,0.4,0.6,0.2,0.8,0.05,100,150,75,250,10,3,80,70,20,-10.7,-18.15,2.62,11.74,18.15,130.0,0,1,6,0.8,1.0,-3138.095,REJECTED_RECOVERY_LOSS
9655,CANDIDATE,0.05,1.1,0.3,0.3,0.7,0.4,0.6,0.07,70,100,75,300,10,3,80,70,25,-11.59,-16.38,5.62,13.14,16.38,130.0,0,1,6,1.0,1.0,-3138.245,REJECTED_RECOVERY_LOSS
14551,CANDIDATE,0.05,1.18,0.25,0.45,0.55,0.15,0.85,0.05,150,100,25,200,9,3,60,50,30,-10.52,-13.5,2.22,11.5,13.88,130.0,0,1,6,1.0,1.0,-3138.26,REJECTED_RECOVERY_LOSS
11515,CANDIDATE,0.05,1.18,0.2,0.4,0.6,0.3,0.7,0.0,100,150,25,100,8,3,60,60,25,-10.28,-16.4,0.8,10.57,16.4,130.0,0,1,6,1.0,1.0,-3138.32,REJECTED_RECOVERY_LOSS
15535,CANDIDATE,0.1,1.1,0.2,0.45,0.55,0.25,0.75,0.07,70,150,75,250,6,3,30,70,30,-3.66,-16.24,8.36,10.43,16.24,240.0,1,2,5,0.6667,0.7778,-3138.325,REJECTED_STOP_MAX_LEVELS
6692,CANDIDATE,0.05,1.2,0.35,0.4,0.6,0.2,0.8,0.1,70,150,50,100,9,3,60,60,20,-9.82,-14.95,2.97,10.49,14.95,140.0,0,1,6,1.0,1.0,-3138.425,REJECTED_RECOVERY_LOSS
10912,CANDIDATE,0.05,1.2,0.25,0.5,0.5,0.15,0.85,0.1,100,200,25,300,8,3,80,70,30,-11.67,-17.01,5.78,13.86,18.04,130.0,0,1,6,1.0,1.0,-3138.475,REJECTED_RECOVERY_LOSS
19217,CANDIDATE,0.05,1.12,0.35,0.5,0.5,0.4,0.6,0.03,70,200,100,200,10,3,80,60,25,-10.53,-16.3,5.38,11.67,16.3,140.0,0,1,6,1.0,1.0,-3138.645,REJECTED_RECOVERY_LOSS
